Rut Proveedor,Nombre Empresa,Nro Licitación Pública,CodigoOC,Proviene de Gran Compra,IDProductoCM,Producto,Tipo de Producto,Marca,Modelo,Cantidad,Rut Unidad de Compra,Unidad de Compra,Fecha Envío OC,Región Unidad de Compra,Institución,Sector,year,month
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,761-220-CM18,No,1536921,SUV HYUNDAI TUCSON TL  2.0 AT VALUE AÑO 2018,SUV,HYUNDAI,TUCSON TL  2.0 AT VALUE,2,60.515.000-4,Ministerio del Interior - Subsecretaría de Desarrollo Regional,2018-02-21,Metropolitana,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,"Gob. Central, Universidades",2018,2
77.008.670-1,PORTILLO S.A.,2239-4-LR17,1002592-69-CM18,No,1537049,CAMIONETA TOYOTA HILUX 2.7 4X2 MT SR GASOLINA AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.7 4X2 MT SR GASOLINA,1,65.154.021-6,SLEPB PROGRAMA 1,2018-02-22,Metropolitana,SERVICIO LOCAL DE EDUCACION LAS BARRANCAS,"Gob. Central, Universidades",2018,2
76.068.841-k,AUTOMOTRIZ FORCENTER S.A.,2239-4-LR17,3335-158-CM18,No,1536790,SUV FORD EXPLORER XLT 3.5L 4X2 AÑO 2018,SUV,FORD,EXPLORER XLT 3.5L 4X2,1,69.200.800-6,Departamento de Educación,2018-02-22,Los Rios,I MUNICIPALIDAD DE LA UNION,Municipalidades,2018,2
77.008.670-1,PORTILLO S.A.,2239-4-LR17,3937-26-CM18,No,1537050,CAMIONETA TOYOTA HILUX 2.8 4X4 AT SRV AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.8 4X4 AT SRV,1,69.252.400-4,Salud,2018-02-23,Araucania,Ilustre Municipalidad de Curarrehue,Municipalidades,2018,2
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,2502-24-CM18,No,1537049,CAMIONETA TOYOTA HILUX 2.7 4X2 MT SR GASOLINA AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.7 4X2 MT SR GASOLINA,2,69.110.700-0,ILUSTRE MUNICIPALIDAD DE RIO CLARO,2018-02-23,Maule,I MUNICIPALIDAD DE RIO CLARO,Municipalidades,2018,2
78.585.230-3,Automotriz Tecnosur Limitada,2239-4-LR17,3508-160-CM18,No,1538510,CAMIONETA NISSAN NP300 DC SE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC SE 2.3D MT 4WD,1,69.230.500-0,Dirección de Administración y Finanzas,2018-02-23,Los Lagos,ILUSTRE MUNICIPALIDAD DE CHONCHI,Municipalidades,2018,2
81.318.700-0,POMPEYO CARRASCO Y CIA LTDA,2239-4-LR17,3759-79-CM18,No,1538510,CAMIONETA NISSAN NP300 DC SE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC SE 2.3D MT 4WD,1,69.130.400-0,Municipalidad de Yerbas Buenas,2018-02-27,Maule,Ilustre Municipalidad de Yerbas Buenas,Municipalidades,2018,2
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,1260-74-CM18,No,1537045,CAMIONETA TOYOTA HILUX 2.4 4X2 MT DX (WIDE) AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X2 MT DX (WIDE),1,61.923.200-3,ADQUISICIONES - PROGRAMA 01,2018-02-26,Metropolitana,GOBIERNO REGIONAL REGION METROPOLITANA,"Gob. Central, Universidades",2018,2
96.870.620-9,HONDA MOTOR DE CHILE S A,2239-4-LR17,3376-9-CM18,No,1536865,SUV HONDA PILOT ELITE 3.5 AT 4X4 ACP AÑO 2018,SUV,HONDA,PILOT ELITE 3.5 AT 4X4 ACP,1,61.101.078-8,DIVLOG - Comando DIVLOG,2018-02-28,Metropolitana,Ejército de Chile,FFAA,2018,2
77.008.670-1,PORTILLO S.A.,2239-4-LR17,3334-167-CM18,No,1538628,CAMIONETA TOYOTA HILUX 2.4 4X4 MT DX AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X4 MT DX,2,69.200.800-6,Ilustre Municipalidad de La Unión,2018-02-28,Los Rios,I MUNICIPALIDAD DE LA UNION,Municipalidades,2018,2
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,624-75-CM18,No,1537062,SUV TOYOTA RAV4 LUJO 2.0 4X4 MT AÑO 2018,SUV,TOYOTA,RAV4 LUJO 2.0 4X4 MT,1,72.225.700-6,Compra Regional,2018-02-28,Coquimbo,GOBIERNO REGIONAL IV REGION COQUIMBO,"Gob. Central, Universidades",2018,2
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,2453-154-CM18,No,1536670,FURGÓN BAIC PLUS AIRE ACONDICIONADO AÑO 2018,FURGÓN,BAIC,PLUS AIRE ACONDICIONADO,1,69.071.000-5,ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL,2018-03-01,Metropolitana,ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL,Municipalidades,2018,3
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,2324-826-CM18,No,1537067,SUV TOYOTA RUSH LEI 4X2 MEC AÑO 2018,SUV,TOYOTA,RUSH LEI 4X2 MEC,1,69.220.100-0,Departamento de Licitaciones y gestión de Abastecimiento,2018-03-01,Los Lagos,Municipalidad de Puerto Montt,Municipalidades,2018,3
79.575.250-1,INGENIERIA AUTOMOTRIZ MACIAS Y COMPANIA SPA,2239-4-LR17,2770-78-CM18,No,1538504,CAMIONETA NISSAN NP300 DC S 2.5 MT AÑO 2018,CAMIONETA,NISSAN,NP300 DC S 2.5 MT,1,69.070.900-7,Unidades de Licitaciones- SECPLA,2018-03-27,Metropolitana,ILUSTRE MUNICIPALIDAD DE MAIPU,Municipalidades,2018,3
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,941739-130-CM18,No,1536919,SUV HYUNDAI TUCSON TL  2.0 AT 4WD LIMITED AÑO 2018,SUV,HYUNDAI,TUCSON TL  2.0 AT 4WD LIMITED,1,70.770.800-K,"Dirección de Logistica, obras y Operaciones",2018-03-02,Arica Y Parinacota,Universidad de Tarapacá,"Gob. Central, Universidades",2018,3
94.141.000-6,DERCO S.P.A,2239-4-LR17,847-109-CM18,No,1536933,FURGÓN JAC SUNRAY 1.9 CARGO  AÑO 2018,FURGÓN,JAC,SUNRAY 1.9 CARGO,1,70.072.600-2,Junji - V Región,2018-03-01,Valparaiso,Junta Nacional de Jardines Infantiles - JUNJI,"Gob. Central, Universidades",2018,3
78.585.230-3,Automotriz Tecnosur Limitada,2239-4-LR17,3212-19-CM18,No,1538508,CAMIONETA NISSAN NP300 DC SE 2.3D MT AÑO 2018,CAMIONETA,NISSAN,NP300 DC SE 2.3D MT,1,69.180.500-k,Departamento de Educación,2018-03-06,Araucania,Ilustre Municipalidad de Collipulli,Municipalidades,2018,3
76.281.300-9,AUTOMOTORA MELHUISH SPA,2239-4-LR17,3882-294-CM18,No,1536715,HATCHBACK CHEVROLET CRUZE HB TURBO LT AT AÑO 2018,SEDÁN,CHEVROLET,CRUZE HB TURBO LT AT,1,69.060.400-0,Ilustre Municipalidad de Llay Llay,2018-03-02,Valparaiso,I MUNICIPALIDAD DE LLAY LLAY,Municipalidades,2018,3
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,3882-296-CM18,No,1538628,CAMIONETA TOYOTA HILUX 2.4 4X4 MT DX AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X4 MT DX,1,69.060.400-0,Ilustre Municipalidad de Llay Llay,2018-03-02,Valparaiso,I MUNICIPALIDAD DE LLAY LLAY,Municipalidades,2018,3
76.281.300-9,AUTOMOTORA MELHUISH SPA,2239-4-LR17,837322-103-CM18,No,1538481,CAMIONETA CHEVROLET NEW DMAX CC 2.5TD 4WD AÑO 2018,CAMIONETA,CHEVROLET,NEW DMAX CC 2.5TD 4WD,2,61.101.078-8,División de Adquisiciones - Institucional,2018-03-16,Metropolitana,Ejército de Chile,FFAA,2018,3
77.008.670-1,PORTILLO S.A.,2239-4-LR17,696011-26-CM18,No,1537031,SUV TOYOTA 4RUNNER 4X4 SR5 CONTROL VOLANTE AÑO 2018,SUV,TOYOTA,4RUNNER 4X4 SR5 CONTROL VOLANTE,1,61.935.400-1,FR ATACAMA,2018-03-06,Atacama,Ministerio Publico,Legislativo y judicial,2018,3
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,3251-80-CM18,No,1536922,SUV HYUNDAI TUCSON TL  2.0 MT 4WD VALUE AÑO 2018,SUV,HYUNDAI,TUCSON TL  2.0 MT 4WD VALUE,1,69.252.700-3,Departamento de Salud,2018-03-06,Maule,I MUNICIPALIDAD DE PELLUHUE,Municipalidades,2018,3
77.008.670-1,PORTILLO S.A.,2239-4-LR17,4559-46-CM18,No,1537045,CAMIONETA TOYOTA HILUX 2.4 4X2 MT DX (WIDE) AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X2 MT DX (WIDE),2,69.160.402-0,Depto. Salud,2018-03-08,Biobio,I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Municipalidades,2018,3
77.008.670-1,PORTILLO S.A.,2239-4-LR17,837322-110-CM18,No,1537053,SUV TOYOTA LAND CRUISER PRADO VX-L LIMITED AÑO 2018,SUV,TOYOTA,LAND CRUISER PRADO VX-L LIMITED,1,61.101.078-8,División de Adquisiciones - Institucional,2018-03-16,Metropolitana,Ejército de Chile,FFAA,2018,3
94.141.000-6,DERCO S.P.A,2239-4-LR17,5485-247-CM18,No,1536834,CAMIONETA GREAT WALL WINGLE 5 DIESEL 2.0 VGT 4X2 LUX AÑO 2018,CAMIONETA,GREAT WALL,WINGLE 5 DIESEL 2.0 VGT 4X2 LUX,1,60.910.000-1,FAC.CS.AGRONOMICAS Dirección Económ. y Adm,2018-03-08,Metropolitana,Universidad de Chile,"Gob. Central, Universidades",2018,3
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,1002592-90-CM18,No,1536917,SUV HYUNDAI SANTA FE DM  WGN 2.4 6M/T GLS PE AÑO 2018,SUV,HYUNDAI,SANTA FE DM  WGN 2.4 6M/T GLS PE,1,65.154.021-6,SLEPB PROGRAMA 1,2018-03-08,Metropolitana,SERVICIO LOCAL DE EDUCACION LAS BARRANCAS,"Gob. Central, Universidades",2018,3
77.008.670-1,PORTILLO S.A.,2239-4-LR17,696217-24-CM18,No,1537031,SUV TOYOTA 4RUNNER 4X4 SR5 CONTROL VOLANTE AÑO 2018,SUV,TOYOTA,4RUNNER 4X4 SR5 CONTROL VOLANTE,1,61.935.400-1,FR TARAPACA,2018-03-08,Tarapaca,Ministerio Publico,Legislativo y judicial,2018,3
84.916.800-2,Callegari Ltda.,2239-4-LR17,2322-138-CM18,No,1536813,CAMIONETA FORD RANGER XL 4X4 DIESEL AÑO 2018,CAMIONETA,FORD,RANGER XL 4X4 DIESEL,2,69.030.500-3,ABASTECIMIENTO I. MUNICIPALIDAD DE VALLENAR,2018-03-09,Atacama,I. MUNICIPALIDAD DE VALLENAR,Municipalidades,2018,3
84.916.800-2,Callegari Ltda.,2239-4-LR17,2322-138-CM18,No,1536812,CAMIONETA FORD RANGER XL 4X2 DIESEL AÑO 2018,CAMIONETA,FORD,RANGER XL 4X2 DIESEL,1,69.030.500-3,ABASTECIMIENTO I. MUNICIPALIDAD DE VALLENAR,2018-03-09,Atacama,I. MUNICIPALIDAD DE VALLENAR,Municipalidades,2018,3
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,5212-66-CM18,No,1536879,SEDÁN HYUNDAI AZERA IG  3.0 AT PREMIUM AÑO 2018,SEDÁN,HYUNDAI,AZERA IG  3.0 AT PREMIUM,1,60.921.000-1,01 Organismo Central-Rectoria-Prorrectoria,2018-03-09,Valparaiso,Universidad de Valparaíso,"Gob. Central, Universidades",2018,3
76.068.841-k,AUTOMOTRIZ FORCENTER S.A.,2239-4-LR17,2322-142-CM18,No,1536780,SUV FORD EDGE SEL 2.0 ECOBOOST FWD AÑO 2018,SUV,FORD,EDGE SEL 2.0 ECOBOOST FWD,1,69.030.500-3,ABASTECIMIENTO I. MUNICIPALIDAD DE VALLENAR,2018-03-09,Atacama,I. MUNICIPALIDAD DE VALLENAR,Municipalidades,2018,3
77.008.670-1,PORTILLO S.A.,2239-4-LR17,889473-241-CM18,No,1537045,CAMIONETA TOYOTA HILUX 2.4 4X2 MT DX (WIDE) AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X2 MT DX (WIDE),1,61.980.530-5,Universidad de O Higgins,2018-03-12,Ohiggins,UNIVERSIDAD DE O'HIGGINS,"Gob. Central, Universidades",2018,3
81.318.700-0,POMPEYO CARRASCO Y CIA LTDA,2239-4-LR17,3152-86-CM18,No,1538505,CAMIONETA NISSAN NP300 DC XE 2.5 MT AÑO 2018,CAMIONETA,NISSAN,NP300 DC XE 2.5 MT,1,69.080.200-7,Dirección de Salud,2018-03-09,Ohiggins,Ilustre Municipalidad de Machali,Municipalidades,2018,3
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,3160-48-CM18,No,1537031,SUV TOYOTA 4RUNNER 4X4 SR5 CONTROL VOLANTE AÑO 2018,SUV,TOYOTA,4RUNNER 4X4 SR5 CONTROL VOLANTE,1,61.102.003-1,DIRECCION GENERAL DE LOS SERVICIOS DE LA ARMADA (AB),2018-03-13,Valparaiso,DIRECCION GENERAL DE LOS SERVICIOS DE LA ARMADA,FFAA,2018,3
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,3825-195-CM18,No,1536881,SUV HYUNDAI CRETA GS  1.6 MT GLS 2AB ABS AÑO 2018,SUV,HYUNDAI,CRETA GS  1.6 MT GLS 2AB ABS,1,69.261.400-3,Direccion De Administracion Y Finanzas,2018-03-13,Metropolitana,I MUNICIPALIDAD DE PADRE HURTADO,Municipalidades,2018,3
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,2320-65-CM18,No,1537048,CAMIONETA TOYOTA HILUX 2.4 4X4 MT SR AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X4 MT SR,1,69.130.100-1,ADQUISICIONES SALUD MUNICIPAL,2018-03-21,Maule,ILUSTRE MUNICIPALIDAD DE SAN JAVIER,Municipalidades,2018,3
77.008.670-1,PORTILLO S.A.,2239-4-LR17,4142-74-CM18,No,1537045,CAMIONETA TOYOTA HILUX 2.4 4X2 MT DX (WIDE) AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X2 MT DX (WIDE),1,69.091.000-4,Salud,2018-03-13,Ohiggins,I MUNICIPALIDAD DE PALMILLA,Municipalidades,2018,3
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,1016-43-CM18,No,1537062,SUV TOYOTA RAV4 LUJO 2.0 4X4 MT AÑO 2018,SUV,TOYOTA,RAV4 LUJO 2.0 4X4 MT,1,61.202.000-0,Dirección de Planeamiento - MOP,2018-03-15,Nuble,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Obras Públicas,2018,3
77.008.670-1,PORTILLO S.A.,2239-4-LR17,3495-37-CM18,No,1537046,CAMIONETA TOYOTA HILUX 2.4 4X2 MT SR AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X2 MT SR,1,69.190.800-3,Departamento Salud,2018-03-15,Araucania,I MUNICIPALIDAD DE VILCUN,Municipalidades,2018,3
96.870.620-9,HONDA MOTOR DE CHILE S A,2239-4-LR17,2324-1061-CM18,No,1536860,SUV HONDA CR-V TOURING AWD AÑO 2018,SUV,HONDA,CR-V TOURING AWD,1,69.220.100-0,Departamento de Licitaciones y gestión de Abastecimiento,2018-03-16,Los Lagos,Municipalidad de Puerto Montt,Municipalidades,2018,3
81.318.700-0,POMPEYO CARRASCO Y CIA LTDA,2239-4-LR17,2345-554-CM18,No,1537027,SEDÁN NISSAN VERSA SENSE MT AÑO 2018,SEDÁN,NISSAN,VERSA SENSE MT,1,69.070.400-5,IMUNI_LAS CONDES DEPTO. ADMINISTRACION,2018-03-24,Metropolitana,MUNICIPALIDAD DE LAS CONDES,Municipalidades,2018,3
79.802.860-k,AUTOMOTRIZ PORTILLO S.A.,2239-4-LR17,1704-1269-CM18,No,1538566,SUV PEUGEOT TEPEE OUTDOOR NUEVA ALLURE 1.6 HDI 92HP 7 ASIENTOS AÑO 2018,SUV,PEUGEOT,TEPEE OUTDOOR NUEVA ALLURE 1.6 HDI 92HP 7 ASIENTOS,1,61.606.608-0,Hospital San Martín de Quillota,2018-03-16,Valparaiso,SERVICIO DE SALUD VINA DEL MAR QUILLOTA,Salud,2018,3
78.585.230-3,Automotriz Tecnosur Limitada,2239-4-LR17,1723-311-CM18,No,1538566,SUV PEUGEOT TEPEE OUTDOOR NUEVA ALLURE 1.6 HDI 92HP 7 ASIENTOS AÑO 2018,SUV,PEUGEOT,TEPEE OUTDOOR NUEVA ALLURE 1.6 HDI 92HP 7 ASIENTOS,1,69.200.600-3,Ilustre Municipalidad de los Lagos,2018-03-20,Los Rios,I MUNICIPALIDAD DE LOS LAGOS,Municipalidades,2018,3
79.780.600-5,Cidef Comercial S.A.,2239-4-LR17,4486-112-CM18,No,1538577,HATCHBACK ZNA SUCCE PASAJERO AÑO 2018,SEDÁN,ZNA,SUCCE PASAJERO,1,69.170.800-4,Ilustre Municipalidad de Negrete,2018-03-19,Biobio,I MUNICIPALIDAD DE NEGRETE,Municipalidades,2018,3
76.068.841-k,AUTOMOTRIZ FORCENTER S.A.,2239-4-LR17,1260-106-CM18,No,1536782,SUV FORD ESCAPE S 2.0L 4X2 DIESEL AÑO 2018,SUV,FORD,ESCAPE S 2.0L 4X2 DIESEL,1,61.923.200-3,ADQUISICIONES - PROGRAMA 01,2018-03-19,Metropolitana,GOBIERNO REGIONAL REGION METROPOLITANA,"Gob. Central, Universidades",2018,3
94.141.000-6,DERCO S.P.A,2239-4-LR17,3504-564-CM18,No,1538891,SUV SUZUKI GRAND VITARA 1.6 GLX AÑO 2018,SUV,SUZUKI,GRAND VITARA 1.6 GLX,1,69.230.300-8,Adquisiciones,2018-03-19,Los Lagos,I MUNICIPALIDAD DE DALCAHUE,Municipalidades,2018,3
77.008.670-1,PORTILLO S.A.,2239-4-LR17,2675-311-CM18,No,1537046,CAMIONETA TOYOTA HILUX 2.4 4X2 MT SR AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X2 MT SR,2,69.080.500-6,I MUNICIPALIDAD DE MOSTAZAL,2018-03-19,Ohiggins,I MUNICIPALIDAD DE MOSTAZAL,Municipalidades,2018,3
77.008.670-1,PORTILLO S.A.,2239-4-LR17,3573-37-CM18,No,1537049,CAMIONETA TOYOTA HILUX 2.7 4X2 MT SR GASOLINA AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.7 4X2 MT SR GASOLINA,1,69.201.200-3,Secretaria Comunal de Planificación,2018-03-20,Los Rios,Ilustre Municipalidad de Panguipulli,Municipalidades,2018,3
78.585.230-3,Automotriz Tecnosur Limitada,2239-4-LR17,2324-1116-CM18,No,1538572,FURGÓN PEUGEOT NUEVA BOXER FURGÓN L3H2 2.0 BLUEHDI 160 HP AÑO 2018,FURGÓN,PEUGEOT,NUEVA BOXER FURGÓN L3H2 2.0 BLUEHDI 160 HP,1,69.220.100-0,Departamento de Licitaciones y gestión de Abastecimiento,2018-03-21,Los Lagos,Municipalidad de Puerto Montt,Municipalidades,2018,3
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,3442-120-CM18,No,1537078,CAMIONETA VOLKSWAGEN AMAROK TRENDLINE 4MOTION AÑO 2018,CAMIONETA,VOLKSWAGEN,AMAROK TRENDLINE 4MOTION,1,69.100.700-6,Administración y Finanzas,2018-03-21,Maule,I MUNICIPALIDAD DE VICHUQUEN,Municipalidades,2018,3
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,4009-105-CM18,No,1536915,SUV HYUNDAI SANTA FE DM  WGN 2.4 6A/T 4WD GLS PE AÑO 2018,SUV,HYUNDAI,SANTA FE DM  WGN 2.4 6A/T 4WD GLS PE,1,69.060.800-6,Alcaldía,2018-03-21,Valparaiso,I MUNICIPALIDAD DE PUCHUNCAVI,Municipalidades,2018,3
94.141.000-6,DERCO S.P.A,2239-4-LR17,4362-19-CM18,No,1538767,SUV SUZUKI JIMNY 1.3 JLX AB AC WINCHE AÑO 2018,SUV,SUZUKI,JIMNY 1.3 JLX AB AC WINCHE,1,69.170.700-8,Secplan,2018-03-27,Biobio,Ilustre Municipalidad de Nacimiento,Municipalidades,2018,3
94.141.000-6,DERCO S.P.A,2239-4-LR17,980-29-CM18,No,1538850,SEDÁN MAZDA NEW MAZDA6 V 2.0L 6AT AÑO 2018,SEDÁN,MAZDA,NEW MAZDA6 V 2.0L 6AT,1,61.202.000-0,Dirección General de Obras Publicas - MOP,2018-03-23,Metropolitana,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Obras Públicas,2018,3
79.575.250-1,INGENIERIA AUTOMOTRIZ MACIAS Y COMPANIA SPA,2239-4-LR17,3911-182-CM18,No,1538510,CAMIONETA NISSAN NP300 DC SE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC SE 2.3D MT 4WD,1,69.040.600-4,Finanzas Depto. Educación,2018-03-23,Coquimbo,I MUNICIPALIDAD PAIHUANO,Municipalidades,2018,3
78.585.230-3,Automotriz Tecnosur Limitada,2239-4-LR17,2324-1204-CM18,No,1538511,CAMIONETA NISSAN NP300 DC XE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC XE 2.3D MT 4WD,1,69.220.100-0,Departamento de Licitaciones y gestión de Abastecimiento,2018-03-23,Los Lagos,Municipalidad de Puerto Montt,Municipalidades,2018,3
86.385.500-4,COMERCIAL ANFRUNS Y COMPANIA SPA,2239-4-LR17,3666-7-CM18,No,1538851,CAMIONETA RENAULT ALASKAN INTENS 4X4 6 MT AÑO 2018,CAMIONETA,RENAULT,ALASKAN INTENS 4X4 6 MT,1,69.071.600-3,Secretaria Comunal Planificacion,2018-03-24,Metropolitana,I MUNICIPALIDAD DE TIL TIL,Municipalidades,2018,3
94.141.000-6,DERCO S.P.A,2239-4-LR17,450-135-CM18,No,1538867,"SUV RENAULT DUSTER ZEN 1,6L 5MT 4X2 AÑO 2018",SUV,RENAULT,"DUSTER ZEN 1,6L 5MT 4X2",1,69.210.300-9,Administración y Finanzas,2018-03-28,Los Lagos,I. Municipalidad de Río Negro,Municipalidades,2018,3
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,3986-195-CM18,No,1538628,CAMIONETA TOYOTA HILUX 2.4 4X4 MT DX AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X4 MT DX,1,69.200.200-8,MUNICIPALIDAD DE CORRAL,2018-03-26,Los Rios,Municipalidad de Corral,Municipalidades,2018,3
