IDProductoCM,Modelo,Tipo de Producto,Marca,Nombre Producto ONU,Precio Unitario,Rut Unidad de Compra,Región Unidad de Compra,Sector,year,Nro Licitación Pública,Convenio Marco,CodigoOC,Fecha Envío OC,Cantidad,Rut Proveedor,Nombre Proveedor Sucursal,Vehículo,Macrozona_x,Gama_x,Pgm,Puntaje Precio_x,PUNTAJE OFERTA,Marca_x,Precio,Modelo,Versión,Precio + Despacho,Precio Macrozona-Gama,Puntaje Precio_y,exact_merge_var
1537094,TIGUAN TDI AT COMFORLINE 150HP 4 MOTION,SUV,VOLKSWAGEN,Automóviles,15409244.0,61.955.100-1,Araucanía,Salud,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2043-51-CM18,2018-02-16,1.0,76.245.828-4,PORSCHE CHILE SPA,,,,,,,,,TIGUAN TDI AT COMFORLINE 150HP 4 MOTION,,,,,
1536899,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,MINIBUS,HYUNDAI ,Minibuses,17194600.0,69.191.300-7,Araucanía,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3752-44-CM18,2018-02-20,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,,,,,
1538850,NEW MAZDA6 V 2.0L 6AT,SEDÁN,MAZDA,Automóviles,12472774.0,61.938.500-4,Metropolitana,FFAA,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3326-412-CM18,2018-02-23,2.0,94.141.000-6,Dercosa,,,,,,,,,NEW MAZDA6 V 2.0L 6AT,,,,,
1536921,TUCSON TL  2.0 AT VALUE,SUV,HYUNDAI ,Automóviles,12828235.0,60.515.000-4,Metropolitana,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,761-220-CM18,2018-02-21,2.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,TUCSON TL  2.0 AT VALUE,,,,,
1537049,HILUX 2.7 4X2 MT SR GASOLINA,CAMIONETA,TOYOTA,Automóviles,12492600.0,65.154.021-6,Metropolitana,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1002592-69-CM18,2018-02-22,1.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,HILUX 2.7 4X2 MT SR GASOLINA,,,,,
1536790,EXPLORER XLT 3.5L 4X2,SUV,FORD,Automóviles,18602876.0,69.200.800-6,Los Ríos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3335-158-CM18,2018-02-22,1.0,76.068.841-k,Automotriz For Center SA,,,,,,,,,EXPLORER XLT 3.5L 4X2,,,,,
1538536,G10 9+1,MINIBUS,MAXUS,Minibuses,13330800.0,65.321.890-7,Los Lagos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3507-178-CM18,2018-02-23,1.0,76.005.909-9,Comercial Motores de los Andes SpA,,,,,,,,,G10 9+1,,,,,
1537050,HILUX 2.8 4X4 AT SRV,CAMIONETA,TOYOTA,Automóviles,22842000.0,69.252.400-4,Araucanía,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3937-26-CM18,2018-02-23,1.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,HILUX 2.8 4X4 AT SRV,,,,,
1537049,HILUX 2.7 4X2 MT SR GASOLINA,CAMIONETA,TOYOTA,Automóviles,12758400.0,69.110.700-0,Maule,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2502-24-CM18,2018-02-23,2.0,96.889.440-4,Mediterraneo Automotores SA,,,,,,,,,HILUX 2.7 4X2 MT SR GASOLINA,,,,,
1538510,NP300 DC SE 2.3D MT 4WD,CAMIONETA,NISSAN,Automóviles,16092300.0,69.230.500-0,Los Lagos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3508-160-CM18,2018-02-23,1.0,78.585.230-3,Automotriz Tecnosur Limitada,,,,,,,,,NP300 DC SE 2.3D MT 4WD,,,,,
1538510,NP300 DC SE 2.3D MT 4WD,CAMIONETA,NISSAN,Automóviles,15594600.0,69.130.400-0,Maule,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3759-79-CM18,2018-02-27,1.0,81.318.700-0,POMPEYO CARRASCO Y CIA. LTDA.,,,,,,,,,NP300 DC SE 2.3D MT 4WD,,,,,
1537045,HILUX 2.4 4X2 MT DX (WIDE),CAMIONETA,TOYOTA,Automóviles,13785600.0,61.923.200-3,Metropolitana,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1260-74-CM18,2018-02-26,1.0,96.889.440-4,Mediterraneo Automotores SA,,,,,,,,,HILUX 2.4 4X2 MT DX (WIDE),,,,,
1536865,PILOT ELITE 3.5 AT 4X4 ACP,SUV,HONDA,Automóviles,27437647.0,61.101.078-8,Metropolitana,FFAA,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3376-9-CM18,2018-02-28,1.0,96.870.620-9,Honda Motor de Chile S.A.,,,,,,,,,PILOT ELITE 3.5 AT 4X4 ACP,,,,,
1538628,HILUX 2.4 4X4 MT DX,CAMIONETA,TOYOTA,Automóviles,17333200.0,69.200.800-6,Los Ríos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3334-167-CM18,2018-02-28,2.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,HILUX 2.4 4X4 MT DX,,,,,
1537062,RAV4 LUJO 2.0 4X4 MT,SUV,TOYOTA,Automóviles,12415462.0,72.225.700-6,Coquimbo,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,624-75-CM18,2018-02-28,1.0,96.889.440-4,Mediterraneo Automotores SA,,,,,,,,,RAV4 LUJO 2.0 4X4 MT,,,,,
1536670,PLUS AIRE ACONDICIONADO,FURGÓN,BAIC,Mini-furgonetas o furgonetas,4314600.0,69.071.000-5,Metropolitana,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2453-154-CM18,2018-03-01,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,PLUS AIRE ACONDICIONADO,,,,,
1537067,RUSH LEI 4X2 MEC,SUV,TOYOTA,Automóviles,9368572.0,69.220.100-0,Los Lagos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2324-826-CM18,2018-03-01,1.0,96.889.440-4,Mediterraneo Automotores SA,,,,,,,,,RUSH LEI 4X2 MEC,,,,,
1538504,NP300 DC S 2.5 MT,CAMIONETA,NISSAN,Automóviles,10800600.0,69.070.900-7,Metropolitana,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2770-78-CM18,2018-03-27,1.0,79.575.250-1,Ing.de Serv.Automotriz Macias y Cia.Ltda,,,,,,,,,NP300 DC S 2.5 MT,,,,,
1536919,TUCSON TL  2.0 AT 4WD LIMITED,SUV,HYUNDAI ,Automóviles,17744948.0,70.770.800-K,Arica y Parinacota,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,941739-130-CM18,2018-03-02,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,TUCSON TL  2.0 AT 4WD LIMITED,,,,,
1536933,SUNRAY 1.9 CARGO ,FURGÓN,JAC,Mini-furgonetas o furgonetas,14100000.0,70.072.600-2,Valparaíso,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,847-109-CM18,2018-03-01,1.0,94.141.000-6,Dercosa,,,,,,,,,SUNRAY 1.9 CARGO ,,,,,
1538508,NP300 DC SE 2.3D MT,CAMIONETA,NISSAN,Automóviles,14540300.0,69.180.500-k,Araucanía,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3212-19-CM18,2018-03-06,1.0,78.585.230-3,Automotriz Tecnosur Limitada,,,,,,,,,NP300 DC SE 2.3D MT,,,,,
1536715,CRUZE HB TURBO LT AT,HATCHBACK,CHEVROLET,Automóviles,12235799.0,69.060.400-0,Valparaíso,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3882-294-CM18,2018-03-02,1.0,76.281.300-9,AUTOMOTORA MELHUISH SPA,,,,,,,,,CRUZE HB TURBO LT AT,,,,,
1538628,HILUX 2.4 4X4 MT DX,CAMIONETA,TOYOTA,Automóviles,17183200.0,69.060.400-0,Valparaíso,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3882-296-CM18,2018-03-02,1.0,84.807.200-1,BRUNO FRITSCH S.A.,,,,,,,,,HILUX 2.4 4X4 MT DX,,,,,
1536899,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,MINIBUS,HYUNDAI ,Minibuses,17098600.0,69.060.400-0,Valparaíso,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3882-297-CM18,2018-03-02,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,,,,,
1536899,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,MINIBUS,HYUNDAI ,Minibuses,17098600.0,60.506.011-0,Metropolitana,FFAA,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,5190-344-CM18,2018-03-02,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,,,,,
1538481,NEW DMAX CC 2.5TD 4WD,CAMIONETA,CHEVROLET,Automóviles,16017995.0,61.101.078-8,Metropolitana,FFAA,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,837322-103-CM18,2018-03-16,2.0,76.281.300-9,AUTOMOTORA MELHUISH SPA,,,,,,,,,NEW DMAX CC 2.5TD 4WD,,,,,
1536899,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,MINIBUS,HYUNDAI ,Minibuses,17126600.0,69.091.500-6,Lib. Gral. Bdo. O'Higgins,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3944-70-CM18,2018-03-09,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,,,,,
1537031,4RUNNER 4X4 SR5 CONTROL VOLANTE,SUV,TOYOTA,Automóviles,19660865.0,61.935.400-1,Atacama,Legislativo y judicial,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,696011-26-CM18,2018-03-06,1.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,4RUNNER 4X4 SR5 CONTROL VOLANTE,,,,,
1536824,MIDI DOBLE CABINA,CAMIÓN LIVIANO,FOTON,Camiones de transporte,4784600.0,61.930.600-7,Valparaíso,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2833-226-CM18,2018-03-06,1.0,79.780.600-5,Cidef Comercial S.A.,,,,,,,,,MIDI DOBLE CABINA,,,,,
1536922,TUCSON TL  2.0 MT 4WD VALUE,SUV,HYUNDAI ,Automóviles,12246303.0,69.252.700-3,Maule,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3251-80-CM18,2018-03-06,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,TUCSON TL  2.0 MT 4WD VALUE,,,,,
1537045,HILUX 2.4 4X2 MT DX (WIDE),CAMIONETA,TOYOTA,Automóviles,13560400.0,69.160.402-0,Bío-Bío,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,4559-46-CM18,2018-03-08,2.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,HILUX 2.4 4X2 MT DX (WIDE),,,,,
1537053,LAND CRUISER PRADO VX-L LIMITED,SUV,TOYOTA,Automóviles,28429075.0,61.101.078-8,Metropolitana,FFAA,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,837322-110-CM18,2018-03-16,1.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,LAND CRUISER PRADO VX-L LIMITED,,,,,
1536834,WINGLE 5 DIESEL 2.0 VGT 4X2 LUX,CAMIONETA,GREAT WALL,Automóviles,10236600.0,60.910.000-1,Metropolitana,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,5485-247-CM18,2018-03-08,1.0,94.141.000-6,Dercosa,,,,,,,,,WINGLE 5 DIESEL 2.0 VGT 4X2 LUX,,,,,
1536917,SANTA FE DM  WGN 2.4 6M/T GLS PE,SUV,HYUNDAI ,Automóviles,13973613.0,65.154.021-6,Metropolitana,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1002592-90-CM18,2018-03-08,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,SANTA FE DM  WGN 2.4 6M/T GLS PE,,,,,
1537031,4RUNNER 4X4 SR5 CONTROL VOLANTE,SUV,TOYOTA,Automóviles,19660865.0,61.935.400-1,Tarapacá,Legislativo y judicial,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,696217-24-CM18,2018-03-08,1.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,4RUNNER 4X4 SR5 CONTROL VOLANTE,,,,,
1536813,RANGER XL 4X4 DIESEL,CAMIONETA,FORD,Automóviles,14490000.0,69.030.500-3,Atacama,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2322-138-CM18,2018-03-09,2.0,84.916.800-2,Convenio Marco,,,,,,,,,RANGER XL 4X4 DIESEL,,,,,
1536812,RANGER XL 4X2 DIESEL,CAMIONETA,FORD,Automóviles,12990000.0,69.030.500-3,Atacama,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2322-138-CM18,2018-03-09,1.0,84.916.800-2,Convenio Marco,,,,,,,,,RANGER XL 4X2 DIESEL,,,,,
1536879,AZERA IG  3.0 AT PREMIUM,SEDÁN,HYUNDAI ,Automóviles,16156387.0,60.921.000-1,Valparaíso,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,5212-66-CM18,2018-03-09,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,AZERA IG  3.0 AT PREMIUM,,,,,
1536780,EDGE SEL 2.0 ECOBOOST FWD,SUV,FORD,Automóviles,17054286.0,69.030.500-3,Atacama,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2322-142-CM18,2018-03-09,1.0,76.068.841-k,Automotriz For Center SA,,,,,,,,,EDGE SEL 2.0 ECOBOOST FWD,,,,,
1537045,HILUX 2.4 4X2 MT DX (WIDE),CAMIONETA,TOYOTA,Automóviles,13398400.0,61.980.530-5,Lib. Gral. Bdo. O'Higgins,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,889473-241-CM18,2018-03-12,1.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,HILUX 2.4 4X2 MT DX (WIDE),,,,,
1538580,FRONTIER D/C 2.5L 6MT,CAMIÓN LIVIANO,KIA,Camiones de transporte,13867563.0,69.081.500-1,Lib. Gral. Bdo. O'Higgins,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3634-83-CM18,2018-03-09,1.0,96.931.150-K,KIA CHILE,,,,,,,,,FRONTIER D/C 2.5L 6MT,,,,,
1538505,NP300 DC XE 2.5 MT,CAMIONETA,NISSAN,Automóviles,12492600.0,69.080.200-7,Lib. Gral. Bdo. O'Higgins,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3152-86-CM18,2018-03-09,1.0,81.318.700-0,POMPEYO CARRASCO Y CIA. LTDA.,,,,,,,,,NP300 DC XE 2.5 MT,,,,,
1536899,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,MINIBUS,HYUNDAI ,Minibuses,17255770.0,69.210.302-5,Los Lagos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2917-109-CM18,2018-03-15,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,,,,,
1537031,4RUNNER 4X4 SR5 CONTROL VOLANTE,SUV,TOYOTA,Automóviles,19770000.0,61.102.003-1,Valparaíso,FFAA,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3160-48-CM18,2018-03-13,1.0,84.807.200-1,BRUNO FRITSCH S.A.,,,,,,,,,4RUNNER 4X4 SR5 CONTROL VOLANTE,,,,,
1536881,CRETA GS  1.6 MT GLS 2AB ABS,SUV,HYUNDAI ,Automóviles,10433492.0,69.261.400-3,Metropolitana,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3825-195-CM18,2018-03-13,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,CRETA GS  1.6 MT GLS 2AB ABS,,,,,
1537048,HILUX 2.4 4X4 MT SR,CAMIONETA,TOYOTA,Automóviles,19094400.0,69.130.100-1,Maule,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2320-65-CM18,2018-03-21,1.0,96.889.440-4,Mediterraneo Automotores SA,,,,,,,,,HILUX 2.4 4X4 MT SR,,,,,
1537045,HILUX 2.4 4X2 MT DX (WIDE),CAMIONETA,TOYOTA,Automóviles,13398400.0,69.091.000-4,Lib. Gral. Bdo. O'Higgins,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,4142-74-CM18,2018-03-13,1.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,HILUX 2.4 4X2 MT DX (WIDE),,,,,
1538580,FRONTIER D/C 2.5L 6MT,CAMIÓN LIVIANO,KIA,Camiones de transporte,14038923.0,69.150.400-K,Bío-Bío,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2671-48-CM18,2018-03-23,1.0,96.931.150-K,KIA CHILE,,,,,,,,,FRONTIER D/C 2.5L 6MT,,,,,
1538580,FRONTIER D/C 2.5L 6MT,CAMIÓN LIVIANO,KIA,Camiones de transporte,14038923.0,69.150.500-6,Bío-Bío,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,4494-206-CM18,2018-03-16,1.0,96.931.150-K,KIA CHILE,,,,,,,,,FRONTIER D/C 2.5L 6MT,,,,,
1537062,RAV4 LUJO 2.0 4X4 MT,SUV,TOYOTA,Automóviles,12615462.0,61.202.000-0,Ñuble,Obras Públicas,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1016-43-CM18,2018-03-15,1.0,96.889.440-4,Mediterraneo Automotores SA,,,,,,,,,RAV4 LUJO 2.0 4X4 MT,,,,,
1538536,G10 9+1,MINIBUS,MAXUS,Minibuses,14916302.0,65.321.890-7,Los Lagos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3507-260-CM18,2018-03-15,1.0,76.005.909-9,Comercial Motores de los Andes SpA,,,,,,,,,G10 9+1,,,,,
1537046,HILUX 2.4 4X2 MT SR,CAMIONETA,TOYOTA,Automóviles,14834600.0,69.190.800-3,Araucanía,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3495-37-CM18,2018-03-15,1.0,77.008.670-1,PORTILLO S A - Casa Matriz,,,,,,,,,HILUX 2.4 4X2 MT SR,,,,,
1536899,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,MINIBUS,HYUNDAI ,Minibuses,17222290.0,69.200.200-8,Los Ríos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3987-1-CM18,2018-03-15,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,,,,,
1536860,CR-V TOURING AWD,SUV,HONDA,Automóviles,19520000.0,69.220.100-0,Los Lagos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2324-1061-CM18,2018-03-16,1.0,96.870.620-9,Honda Motor de Chile S.A.,,,,,,,,,CR-V TOURING AWD,,,,,
1537027,VERSA SENSE MT,SEDÁN,NISSAN,Automóviles,7147059.0,69.070.400-5,Metropolitana,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2345-554-CM18,2018-03-24,1.0,81.318.700-0,POMPEYO CARRASCO Y CIA. LTDA.,,,,,,,,,VERSA SENSE MT,,,,,
1536824,MIDI DOBLE CABINA,CAMIÓN LIVIANO,FOTON,Camiones de transporte,4784600.0,69.170.800-4,Bío-Bío,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,4486-109-CM18,2018-03-19,1.0,79.780.600-5,Cidef Comercial S.A.,,,,,,,,,MIDI DOBLE CABINA,,,,,
1538566,TEPEE OUTDOOR NUEVA ALLURE 1.6 HDI 92HP 7 ASIENTOS,SUV,PEUGEOT ,Automóviles,11050924.0,61.606.608-0,Valparaíso,Salud,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1704-1269-CM18,2018-03-16,1.0,79.802.860-k,AUTOMOTRIZ PORTILLO S.A. - Casa Matriz,,,,,,,,,TEPEE OUTDOOR NUEVA ALLURE 1.6 HDI 92HP 7 ASIENTOS,,,,,
1538566,TEPEE OUTDOOR NUEVA ALLURE 1.6 HDI 92HP 7 ASIENTOS,SUV,PEUGEOT ,Automóviles,11456597.0,69.200.600-3,Los Ríos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1723-311-CM18,2018-03-20,1.0,78.585.230-3,Automotriz Tecnosur Limitada,,,,,,,,,TEPEE OUTDOOR NUEVA ALLURE 1.6 HDI 92HP 7 ASIENTOS,,,,,
1538577,SUCCE PASAJERO,HATCHBACK,ZNA,Automóviles,8360700.0,69.170.800-4,Bío-Bío,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,4486-112-CM18,2018-03-19,1.0,79.780.600-5,Cidef Comercial S.A.,,,,,,,,,SUCCE PASAJERO,,,,,
1536782,ESCAPE S 2.0L 4X2 DIESEL,SUV,FORD,Automóviles,13736639.0,61.923.200-3,Metropolitana,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1260-106-CM18,2018-03-19,1.0,76.068.841-k,Automotriz For Center SA,,,,,,,,,ESCAPE S 2.0L 4X2 DIESEL,,,,,
1538891,GRAND VITARA 1.6 GLX,SUV,SUZUKI,Automóviles,7674790.0,69.230.300-8,Los Lagos,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3504-564-CM18,2018-03-19,1.0,94.141.000-6,Dercosa,,,,,,,,,GRAND VITARA 1.6 GLX,,,,,
