marca,modelo,tipo producto
mitsubishi,l200 4x4 katana crt,camioneta
mitsubishi,l200 d/c td dakar crs 4x4 mt 2024,camioneta
mitsubishi,l200 d/c td katana cr 4x2 mt 2024,camioneta
mitsubishi,l200 d/c td katana crt 4x4 mt 2024,camioneta
mitsubishi,l200 d/c td work cr 4x2 mt 2024,camioneta
mitsubishi,l200 dakar at,camioneta
mitsubishi,l200 dakar at hp,camioneta
mitsubishi,l200 dakar high power at,camioneta
mitsubishi,l200 dakar high power mt,camioneta
mitsubishi,l200 dakar mt,camioneta
mitsubishi,l200 dakar mt hp,camioneta
mitsubishi,l200 katana cr 4x2,camioneta
mitsubishi,l200 katana crm 4x4,camioneta
mitsubishi,l200 katana crt 4x4,camioneta
mitsubishi,l200 katana crt 4x4 sc,camioneta
mitsubishi,l200 work cr 4x2,camioneta
mitsubishi,l200 work cr 4x2 sc,camioneta
nissan,navara cd  le at 4x4,camioneta
nissan,navara cd  pro4x 4x4,camioneta
nissan,navara cd le 4x4 ,camioneta
nissan,navara cd se 4x2,camioneta
nissan,navara cd se 4x4,camioneta
nissan,navara cd xe 4x2,camioneta
nissan,navara cd xe 4x4,camioneta
nissan,navara cs s 4x4,camioneta
nissan,navara dc p4x 2024,camioneta
nissan,navara dc platinum 2.3d 4x4 at 2024,camioneta
nissan,navara dc platinum 2.3d 4x4 mt 2024,camioneta
nissan,navara dc se 2.3d 4x2 mt 2024,camioneta
nissan,navara dc se 2.3d 4x4 mt 2024,camioneta
nissan,navara dc xe 2.3d 4x2 mt 2024,camioneta
nissan,navara dc xe 2.3d 4x4 at 2024,camioneta
nissan,navara dc xe 2.3d 4x4 mt 2024,camioneta
nissan,navara np300 2.3d dc se,camioneta
nissan,navara np300 2.3l le 4x4 dc,camioneta
nissan,navara np300 2.3l le 4x4 dc audio,camioneta
nissan,navara np300 2.3l le 4x4 dc aut,camioneta
nissan,navara np300 2.3l le 4x4 dc aut audio,camioneta
nissan,navara np300 2.3l le 4x4 dc aut – audio,camioneta
nissan,navara np300 2.3l le 4x4 dc mt,camioneta
nissan,navara np300 2.3l le 4x4 dc mt- audio,camioneta
nissan,navara np300 2.3l s 4x4 sc,camioneta
nissan,navara np300 2.3l se 4x2 dc,camioneta
nissan,navara np300 2.3l se 4x4 dc,camioneta
nissan,navara np300 2.3l xe 4x2 dc,camioneta
nissan,navara np300 2.3l xe 4x2 dc audio,camioneta
nissan,navara np300 2.3l xe 4x4 dc,camioneta
nissan,navara np300 2.3l xe 4x4 dc audio,camioneta
nissan,np300 navara d23 dc le 2.3d at 4wd,camioneta
nissan,np300 navara d23 dc le 2.3d at 4wd - audio,camioneta
nissan,np300 navara d23 dc le 2.3d mt 4wd,camioneta
nissan,np300 navara d23 dc le 2.3d mt 4wd - audio,camioneta
nissan,np300 navara d23 dc se 2.3d mt,camioneta
nissan,np300 navara d23 dc se 2.3d mt 4wd,camioneta
nissan,np300 navara d23 dc xe 2.3d mt,camioneta
nissan,np300 navara d23 dc xe 2.3d mt - radio,camioneta
nissan,np300 navara d23 dc xe 2.3d mt 4wd,camioneta
nissan,np300 navara d23 dc xe 2.3d mt 4wd - radio,camioneta
nissan,np300 navara d23 sc s 2.3d mt 4wd,camioneta
nissan,np300 navara dc xe 2.5 mt,camioneta
nissan,np300 navara sc s 2.3d mt,camioneta
nissan,np300 navara sc s 2.3d mt 4wd,camioneta
peugeot,boxer cabina l3 bluehdi 160,camioneta
peugeot,boxer doble cabina l4 bluehdi 160,camioneta
peugeot,landtrek action4 bluehdi 180 4x4 at 2024,camioneta
peugeot,landtrek active bluehdi 180 4x2 mt 2024,camioneta
peugeot,landtrek active bluehdi 180 4x4 at 2024,camioneta
peugeot,landtrek active bluehdi 180 4x4 mt 2024,camioneta
ram,1000 big horn 1.8  at6 lx,camioneta
ram,1000 bighorn lx 1.8 at 2024,camioneta
ram,1000 bighorn night edition 1.8 at 2024,camioneta
ram,1000 laramie 2.0 4x4 at,camioneta
ram,1000 rebel 2.0 4x4 at 2024,camioneta
ram,1500 big horn,camioneta
ram,1500 big horn 3.6l e torque,camioneta
ram,1500 crew cab bighorn 3.6l at 2024,camioneta
ram,1500 crew cab limited 5.7l at 2024,camioneta
ram,1500 crew cab rebel 5.7l at 2024,camioneta
ram,1500 laramie sport,camioneta
ram,1500 limited,camioneta
ram,2500 big horn crew cab 6.7 diesel,camioneta
ram,700 bighorn cd 1.3 cvt at 2024,camioneta
ram,700 bighorn cd 1.3l mt 2024,camioneta
ram,700 laramie cd 1.3 cvt at 2024,camioneta
ram,700 laramie cd 1.3l mt 2024,camioneta
ram,700 longhorn cd 1.3 cvt at 2024,camioneta
ram,700 slt cs 1.3l mt 2024,camioneta
ram,700 slt dc 1.3l mt 2024,camioneta
ram,new ram 1500 crew cab big horn 3.6l e-torque,camioneta
ram,new ram 1500 crew cab laramie 5.7l,camioneta
ram,new ram 1500 crew cab laramie sport 5.7l,camioneta
ram,new ram 1500 crew cab limited  5.7l,camioneta
ram,ram 100 big horn lx,camioneta
ram,ram 100 laramie diesel 4x4,camioneta
ram,ram 1000 big horn,camioneta
ram,ram 1500 quad cab 4x4 3.6l,camioneta
ram,ram 2500 big horn 2500,camioneta
ram,ram 700 big horn,camioneta
ram,ram 700 laramie,camioneta
ram,ram 700 slt cs,camioneta
ram,ram 700 slt dc,camioneta
ram,rampage bighorn 2.0l at 2024,camioneta
ram,rampage laramie 2.0l at 2024,camioneta
ram,rampage r/t 2.0l at 2024,camioneta
renault,oroch 1.6l zen,camioneta
renault,oroch 1.6l zen kit outsider,camioneta
renault,oroch 2.0l intens 4x4,camioneta
renault,oroch intens 1.3 turbo 4x2 at 2024,camioneta
renault,oroch intens 1.3 turbo 4x2 kit at 2024,camioneta
renault,oroch intens 1.3 turbo 4x4 kitmt 2024,camioneta
renault,oroch intens 1.3 turbo 4x4 mt 2024,camioneta
renault,oroch zen 1.6l 4x2 mt 2024,camioneta
ssangyong,all new musso 4wd at full qs723,camioneta
ssangyong,all new musso 4wd at qs722,camioneta
ssangyong,"musso 2,2 4x4 at deluxe",camioneta
ssangyong,musso 4x4 at deluxe full 2.2l,camioneta
ssangyong,musso 4x4 at full 2.2l,camioneta
ssangyong,musso 4x4 mt full 2.2l,camioneta
ssangyong,musso deluxe diesel 2.2l,camioneta
ssangyong,musso full diesel 2.2l,camioneta
ssangyong,musso glx 2.2td 4x4 mt 2024,camioneta
ssangyong,musso grand diesel 2.2l at,camioneta
ssangyong,musso grand full diesel 2.2l,camioneta
ssangyong,musso grand full diesel 2.2l at,camioneta
ssangyong,musso grand full diesel 2.2l mt,camioneta
ssangyong,musso grand full diesel 2.2l mt sc,camioneta
ssangyong,musso grand full diesel 4x4 2.2l,camioneta
ssangyong,musso grand full diesel 4x4 2.2l mt,camioneta
ssangyong,musso grand glx 2.2td 4x2 at 2024,camioneta
ssangyong,musso grand glx 2.2td 4x2 mt 2024,camioneta
ssangyong,musso grand glx 2.2td 4x4 mt 2024,camioneta
ssangyong,musso grand limited 2.2td 4x4 at 2024,camioneta
ssangyong,musso grand limited plus 2.2td 4x4 at 2024,camioneta
ssangyong,musso grand lx 2.2td 4x2 mt 2024,camioneta
ssangyong,musso grand lx 2.2td 4x4 mt 2024,camioneta
ssangyong,musso limited 2.2td 4x4 at 2024,camioneta
ssangyong,musso limited plus 2.2td 4x4 at 2024,camioneta
ssangyong,musso xdi 4x4 2.2l,camioneta
suzuki,carry pick up,camioneta
toyota,4x2 2.4 mt dx,camioneta
toyota,hilux 2.4 4x2 mt sr,camioneta
toyota,hilux 2.4 4x4 dx cabina simple,camioneta
toyota,hilux 2.4 4x4 mt dx,camioneta
toyota,hilux 2.4 4x4 mt sr,camioneta
toyota,hilux 2.4l dx cd 4x2,camioneta
toyota,hilux 2.4l dx cd 4x4,camioneta
toyota,hilux 2.4l dx cs 4x4,camioneta
toyota,hilux 2.4l sr cd 4x2,camioneta
toyota,hilux 2.4l sr cd 4x4,camioneta
toyota,hilux 2.7 4x2 mt dx gasolina,camioneta
toyota,hilux 2.7 4x2 mt sr gasolina,camioneta
toyota,hilux 2.7l dx gasolina cd 4x2,camioneta
toyota,hilux 2.7l sr gasolina cd 4x2,camioneta
toyota,hilux 2.8 4x4 at srv,camioneta
toyota,hilux 2.8 4x4 mt sr,camioneta
toyota,hilux 2.8 4x4 mt sr r,camioneta
toyota,hilux 2.8l sr cd 4x4,camioneta
toyota,hilux 2.8l srv cd 4x4 aut,camioneta
toyota,hilux 4x4 2.8 mt sr,camioneta
toyota,hilux dx 2.4 4x2 mt 2024,camioneta
toyota,hilux dx 2.4 4x4 mt 2024,camioneta
toyota,hilux dx 2.8 4x4 mt 2024,camioneta
toyota,hilux dx cs 2.8 4x4 mt 2024,camioneta
toyota,hilux dx dc 2.4 4x2 mt 2024,camioneta
toyota,hilux dx dc 2.4 4x4 mt 2024,camioneta
toyota,hilux sr 2.4 4x2 mt 2024,camioneta
toyota,hilux sr 2.4 4x4 mt 2024,camioneta
toyota,hilux sr 2.7 4x2 mt 2024,camioneta
toyota,hilux sr 2.8 4x4 mt 2024,camioneta
toyota,hilux sr dc 2.4 4x2 mt 2024,camioneta
toyota,hilux sr dc 2.4 4x4 mt 2024,camioneta
toyota,hilux srv 2.8 4x4 at 2024,camioneta
toyota,tundra 4x4 sr5,camioneta
volkswagen,amarok 2.0l comfortline 4motion,camioneta
volkswagen,amarok 2.0l comfortline 4motion aut,camioneta
volkswagen,amarok 2.0l comfortline 4x2,camioneta
volkswagen,amarok 2.0l highline 4motion aut,camioneta
volkswagen,amarok 2.0l trendline 4motion,camioneta
volkswagen,amarok 2.0l trendline 4x2,camioneta
volkswagen,amarok 3.0l v6,camioneta
volkswagen,nueva amarok comfortline 4motion,camioneta
volkswagen,nueva amarok comfortline 4motion at,camioneta
volkswagen,nueva amarok comfortline 4x2,camioneta
volkswagen,nueva amarok highline 4motion at,camioneta
volkswagen,nueva amarok trendline 4motion,camioneta
volkswagen,nueva amarok trendline 4x2,camioneta
volkswagen,nueva amarok v6 4x4 at,camioneta
volkswagen,nueva saveiro cross,camioneta
volkswagen,saveiro 1.6l cabina simple,camioneta
volkswagen,saveiro 1.6l doble cabina comfortline,camioneta
volkswagen,saveiro cross 1.6l,camioneta
zna,r6 at 2024,camioneta
baic,eu5 ev 2024,sedan
byd,han ev 2024,sedan
byd,qin plus dm 2024,sedan
byd,seal ev 2024,sedan
changan,alsvin 1.4l comfort,sedan
changan,alsvin 1.4l luxury,sedan
changan,alsvin comfort 2024,sedan
changan,alsvin elite at 2024,sedan
changan,alsvin luxury 2024,sedan
chery,arrizo 3 1.5l gls,sedan
chery,arrizo 3 1.5l gls sc,sedan
chery,arrizo 3 1.5l glx,sedan
chery,arrizo 3 gls mt,sedan
chery,arrizo 3 glx mt,sedan
chevrolet,onix 1.0 lt r 2024,sedan
chevrolet,onix 1.0 ltz p2 2024,sedan
chevrolet,onix 1.0 premier r 2024,sedan
chevrolet,onix 1.2 ls p 2024,sedan
chevrolet,onix ii ls 1.2 mt nb,sedan
chevrolet,onix ii lt 1.0t mt nb,sedan
chevrolet,onix ii pr 1.0t at nb,sedan
chevrolet,onix ll ls 1.2 mt nb,sedan
chevrolet,onix ll lt 1.0 t mt nb,sedan
chevrolet,onix ll pr 1.0t at nb,sedan
chevrolet,onix sedan 1.0l lt,sedan
chevrolet,onix sedan 1.2l ls,sedan
chevrolet,sail 1.5l ls abs nb,sedan
chevrolet,sail 1.5l ls nb,sedan
chevrolet,sail 1.5l lt nb,sedan
chevrolet,sail 1.5l lt nb smart,sedan
chevrolet,sail nb 1.5 ls abs l,sedan
chevrolet,sail nb 1.5 lt l smart,sedan
chevrolet,sail nb 1.5l lt 2024,sedan
chevrolet,sail nb 1.5l ltz 2024,sedan
chevrolet,sail nb 1.5l ltz cvt 2024,sedan
citroen,1.5 hdi 100 bvm6 c-elysee feel pack 2024,sedan
citroen,c4 1.5 bluehdi 130 s&s eat8 feel pack 2024,sedan
citroen,c4 1.5 bluehdi 130 s&s eat8 shine 2024,sedan
citroen,new c-elysee 1.2l puretech 82 bvm feel,sedan
citroen,new c-elysee 1.6l hdi 92 bvm feel,sedan
citroen,new c-elysee 1.6l hdi 92 bvm shine,sedan
fiat,argo 1.3 drive,sedan
fiat,argo 1.3 trekking,sedan
honda,city ex 1.5 at,sedan
honda,city ex 1.5 mt,sedan
honda,city lx 1.5 at,sedan
honda,city lx 1.5 mt,sedan
honda,civic sedan ex 2.0 cvt,sedan
honda,civic sedan exl 1.5 t,sedan
hyundai,accent bn7i 1.5 design 2024,sedan
hyundai,accent bn7i 1.5 plus 2024,sedan
hyundai,grand i10 ai3 1.2 design fl 2024,sedan
hyundai,grand i10 ai3 1.2 plus fl 2024,sedan
hyundai,verna 1.4l plus,sedan
kia,ev6 ev gt-line 77.4kwh awd 2024,sedan
kia,soluto ex 1.4l 5mt g srf full 2024,sedan
kia,soluto lx 1.4l 5mt g ll 2024,sedan
mazda,2 1.5l s ipm,sedan
mazda,2 1.5l v aut ipm,sedan
mazda,2 1.5l v ipm,sedan
mazda,3 2.0l s,sedan
mazda,3 2.0l v,sedan
mazda,3 2.0l v aut,sedan
mazda,3 2.5l gtx aut,sedan
mazda,6 2.0l v,sedan
mazda,6 2.5l gtx turbo aut,sedan
mazda,6 sdn v 2.5 6at cuero,sedan
mg,3 at com 2024,sedan
mg,5 1.5l cvt com 2024,sedan
mg,5 1.5l cvt dlx 2024,sedan
mg,5 1.5l mt com 2024,sedan
mg,5 1.5l mt dlx 2024,sedan
mg,6 1.5t mt com 2024,sedan
mg,6 1.5t mt dlx 2024,sedan
mg,gt 1.5l cvt com 2wd 2024,sedan
mg,gt 1.5l mt com 2wd 2024,sedan
mg,gt 1.5t dct dlx 2024,sedan
nissan,leaf,sedan
nissan,leaf 2024,sedan
nissan,new sentra 2.0l advance,sedan
nissan,new sentra 2.0l advance aut,sedan
nissan,new sentra 2.0l advance cvt,sedan
nissan,new sentra 2.0l advance mt,sedan
nissan,new sentra 2.0l exclusive aut,sedan
nissan,new sentra 2.0l exclusive cvt,sedan
nissan,new sentra 2.0l sense,sedan
nissan,new sentra 2.0l sense mt,sedan
nissan,new versa 1.6l advance aut,sedan
nissan,new versa 1.6l advance cvt,sedan
nissan,new versa 1.6l advance mt,sedan
nissan,new versa 1.6l exclusive aut,sedan
nissan,new versa 1.6l exclusive cvt,sedan
nissan,new versa 1.6l sense aut,sedan
nissan,new versa 1.6l sense cvt,sedan
nissan,new versa 1.6l sense cvt radio touch,sedan
nissan,new versa 1.6l sense mt,sedan
nissan,new versa 1.6l sense mt radio touch,sedan
nissan,new versa advance cvt,sedan
nissan,new versa advance mt,sedan
nissan,new versa exclusive cvt,sedan
nissan,new versa sense 1.6,sedan
nissan,new versa sense 1.6 cvt,sedan
nissan,new versa sense cvt,sedan
nissan,new versa sense mt,sedan
nissan,sentra 1.8l advance,sedan
nissan,sentra 1.8l advance aut,sedan
nissan,sentra 1.8l exclusive aut,sedan
nissan,sentra 1.8l sense,sedan
nissan,sentra 2.0l advance,sedan
nissan,sentra 2.0l advance aut,sedan
nissan,sentra 2.0l advance mt,sedan
nissan,sentra 2.0l exclusive aut,sedan
nissan,sentra 2.0l sense,sedan
nissan,sentra 2.0l sense mt,sedan
nissan,sentra advance cvt 2024,sedan
nissan,sentra advance mt 2024,sedan
nissan,sentra exclusive cvt 2024,sedan
nissan,sentra sense mt 2024,sedan
nissan,versa 1.6l advance,sedan
nissan,versa 1.6l advance aut,sedan
nissan,versa 1.6l advance mt,sedan
nissan,versa 1.6l drive mt,sedan
nissan,versa 1.6l exclusive aut,sedan
nissan,versa 1.6l sense,sedan
nissan,versa 1.6l sense aut,sedan
nissan,versa 1.6l sense mt,sedan
nissan,versa advance at (radio touch),sedan
nissan,versa advance cvt 2024,sedan
nissan,versa advance mt (radio touch),sedan
nissan,versa advance mt 2024,sedan
nissan,versa exclusive cvt 2024,sedan
nissan,versa sense at,sedan
nissan,versa sense cvt 2024,sedan
nissan,versa sense mt,sedan
nissan,versa sense mt 2024,sedan
nissan,versa v -drive mt,sedan
nissan,versa v-drive mt,sedan
peugeot,301 1.6l active hdi 92hp,sedan
peugeot,301 1.6l active pack 92hp hdi,sedan
peugeot,301 1.6l allure hdi 92hp,sedan
peugeot,301 1.6l vti active 115hp,sedan
peugeot,301 1.6l vti active pack 115hp aut,sedan
peugeot,301 active hdi 92,sedan
peugeot,301 active pack hdi 92,sedan
peugeot,301 active pack vti 115,sedan
peugeot,301 active pack vti 115 eat6,sedan
peugeot,301 allure hdi 92,sedan
renault,symbol intens tech,sedan
renault,symbol zen,sedan
suzuki,dzire 1.2l gl,sedan
suzuki,dzire 1.2l gl sport,sedan
suzuki,dzire 1.2l gl sport aut,sedan
suzuki,dzire 1.2l glx,sedan
suzuki,dzire 1.2l glx aut,sedan
toyota,camry hv,sedan
toyota,"corolla 1,6 xli mt",sedan
toyota,corolla 1.8 hev,sedan
toyota,corolla 1.8l xei aut,sedan
toyota,corolla 2.0 cvt,sedan
